RÚgIE_ENTR;PROJET_O_N;DOM_PUBLIC;DOSSIER;O_N;NOM;CANTON;SS_QUARTIE;QUARTIER;QUARTIER0;SECTEUR;LIBSECTEUR;CAT?GORIE;LIBCATÚgOR;DATE_CR?AT;ADRESSE;PELOUSES;FLEURS;ARBUSTES;JEUX;ALL?ES;FRICHE;JARDINIERE;HAIES_LONG;WC_O_N;D?POT_JARD;ECLAIRAGE_;V?G?TAUX;BORNE_FONT;BASSINS_FO;DATE_MODIF;COORDONN?E;N_GEST;_LIBGESTI;N_MOEUVRE;_1_LIBGES;DATE_FICHE;GROUPE_ENT;LIBGROUPE;EAU_SURFAC;ROSIERS_SU;FEUILLUS_U;CONIFERE_U;PRAIRIE;PALMIERS_Q;BOISEMENT;XCOORD;YCOORD;ALLÚeS_NON;VIVACES;PROPRIÚt?;LIBPROPRI;UNIFIÚe;LIBTYPOLOG;SEV;NON_SEV;TOTALE;ARBRES;HORTICOLE;HISTORIQUE;ECOLOGIE;ACTIVIT?;COMPOSITIO;ZONE;CL¶tURÚ_O_;FERMETURE;LIBFERMETU;HANDICAPÚs;HANDICAP0;LIBEVOLUTI;ACCESSIBIL;MODIFICATI;TRAML1;BUS;MSEC;BALAYAGESE;NOMCOURT;LONGITUDE;LATITUDE
Non;Non;19880101;106;Non;Moulin de l'EvÛque;3;25;Antigone;Centre;C;Antigone;Ab.bat;Abords de bÔtiment;19880101;Carrefour de l'aÚroport;3550;0;100;0;0;0;15;85;Non;Non;Oui;Platane, 100 l. roses, 2 jubea chilensis, 1 olivier, 1 platane, 3 cyprÞs, 3 washingtonia, 2 phoenix canariensis, 4 chamaerops humilis, 1 brahea armata;0;1;34445;N9;1;SEV;1;SEV;33633;1;Prestige;0;0;2;3;0;8;0;725845,959;146662,184;0;0;1;Ville de Montpellier;Accompagnement de bÔtiments publics;Accompagnement de bÔtiments publics;3665;0;3665;13;0;0;0;0;0;Centre;Non;0;Pas de fermeture;Non;0;Pas d'Úvolution possible;Non;;1 et 2 - Place de l'Europe (198 m);9 - Place de l'Europe (200 m);0;Non;Moulin de l'EvÛque;3,895622;43,609177
Non;Non;19720101;116;Non;Parking des Elus;3;30;ComÚdie;Centre;C;Antigone;Ab.bat;Abords de bÔtiment;19720101;Ave Henri II de Montmorenþy;140;0;95;0;0;0;1;0;Non;Oui;Oui;;0;0;34445;L10;1;SEV;1;SEV;33675;1;Prestige;0;0;0;1;0;0;0;724878,2681;146686,7782;0;0;1;Ville de Montpellier;Accompagnement de bÔtiments publics;Accompagnement de bÔtiments publics;236;0;236;1;0;0;0;0;0;Centre;Non;0;Pas de fermeture;Non;0;Pas d'Úvolution possible;Non;;1 - H¶tel de Ville (207 m);8 - H¶tel de Ville (312 m);0;Non;Parking des Elus;3,883643;43,609563
Non;Non;19850101;136;Non;Tour de la Babotte;1;30;ComÚdie;Centre;A;Ecusson;Ab.bat;Abords de bÔtiment;19850101;Bd Victor Hugo;220;72;0;0;0;0;0;0;Non;Non;Oui;olivier;0;2;35117;K9;1;SEV;1;SEV;33675;1;Prestige;0;0;0;0;0;0;0;724368,7248;146327,6385;0;0;1;Ville de Montpellier;Accompagnement de bÔtiments publics;Accompagnement de bÔtiments publics;292;0;292;0;0;0;0;0;0;Centre;Non;0;Pas de fermeture;Non;0;Pas d'Úvolution possible;Non;;1 et 2 - Gares (275 m);6 - Observatoire (33 m);0;Non;Tour de la Babotte;3,877248;43,606416
Non;Non;19860101;191;Non;Antigone le CÚsar;3;25;Antigone;Centre;C;Antigone;Ab.bat;Abords de bÔtiment;19860101;Bd d'Antigone;2144;0;0;0;0;0;48;0;Non;Non;Oui;16 platanes;0;0;34879;M9;1;SEV;1;SEV;33675;1;Prestige;0;0;16;0;0;0;0;725173,2946;146620,2475;0;0;1;Ville de Montpellier;Accompagnement d'habitations;Accompagnement d'habitations;2192;0;2192;16;0;0;0;0;0;Centre;Non;0;Pas de fermeture;Non;0;Pas d'Úvolution possible;Non;;1 - Antigone (44 m);8 - H¶tel de Ville (143 m);0;Non;Antigone le CÚsar;3,88728;43,608913
Non;Non;19920423;238;Non;Eglise St-Paul;9;1;Les Hauts de Massane;La Mosson;F;Hauts de Massane;Ab.bat;Abords de bÔtiment;;Avenue de bologne;0;0;1370;0;0;0;0;270;Non;Non;Oui;judÚe;0;0;34445;C14;15;Autres;1;SEV;33717;2;Normal;0;0;3;0;0;0;0;719677,5207;148956,0749;500;0;4;PrivÚ ouvert au public;EV Útablissements sociaux ou Úducatifs;EV Útablissements sociaux ou Úducatifs;1370;0;1870;3;0;0;0;0;0;Nord-Ouest;Non;0;Pas de fermeture;Non;0;Pas d'Úvolution possible;Non;39134;1 - Saint-Paul (77 m);15 - Lausanne (305 m);0;Non;Eglise St-Paul;3,819732;43,630846
Non;Non;19991014;249;Non;Villas bio-climatiques;9;1;Les Hauts de Massane;La Mosson;F;Hauts de Massane;Ab.bat;Abords de bÔtiment;19860101;Rue de Corse;0;0;1300;0;200;0;0;0;Non;Non;Oui;murier platane;0;0;34451;A15;1;SEV;1;SEV;33633;3;Rustique;0;0;0;0;550;0;300;719091,8822;149416,1144;0;0;1;Ville de Montpellier;Accompagnement d'habitations;Accompagnement d'habitations;2350;0;2350;0;0;0;0;0;0;Nord-Ouest;Non;0;Pas de fermeture;Non;0;Pas d'Úvolution possible;Non;;;15 - Mas de Bellevue (304 m);0;Non;Villas bio-climatiqu;3,812578;43,635082
Oui;Non;19850101;266;Non;Cuisine Centrale;8;7;La Chamberte;Les CÚvennes;H;CÚvennes;Ab.bat;Abords de bÔtiment;19850101;Route de Laverune;0;0;100;0;0;0;0;0;Non;Non;Oui;9 pins pignon;0;0;34445;F7;1;SEV;47;UPEE7;33717;3;Rustique;0;0;0;9;900;0;0;721536,2818;145477,8741;0;0;1;Ville de Montpellier;Accompagnement de bÔtiments publics;Accompagnement de bÔtiments publics;1000;0;1000;9;0;0;0;0;0;Nord-Ouest;Non;0;Pas de fermeture;Non;0;Pas d'Úvolution possible;Non;39847;;11 - CollÞge M. Pagnol (226 m);0;Non;Cuisine Centrale;3,841975;43,59924
Non;Non;19500101;274;Non;Jardin de la Monnaie;1;30;ComÚdie;Centre;A;Ecusson;Ab.bat;Abords de bÔtiment;19500101;rue de la Monnaie;0;7;90;0;600;0;0;28;Non;Non;Oui;;0;0;34451;K10;4;DEES;1;SEV;33675;2;Normal;0;0;0;0;0;0;0;724504,624;146770,7562;0;0;1;Ville de Montpellier;EV Útablissements sociaux ou Úducatifs;EV Útablissements sociaux ou Úducatifs;697;0;697;0;0;0;0;0;0;Centre;Non;0;Pas de fermeture;Non;0;Pas d'Úvolution possible;Non;;1 - ComÚdie (226 m);5 - Observatoire (410 m);0;Non;Jardin de la Monnaie;3,879034;43,610381
Non;Non;19920203;279;Non;Club du 3Þme age Chamberte;8;7;La Chamberte;Les CÚvennes;H;CÚvennes;Ab.bat;Abords de bÔtiment;;Rue PÞre Rome;0;0;0;0;450;0;0;40;Non;Non;Non;sophora, troene;0;0;34445;G8;21;CCAS;1;SEV;33637;2;Normal;0;0;0;0;0;0;0;722096,8005;145804,5367;0;0;1;Ville de Montpellier;EV Útablissements sociaux ou Úducatifs;EV Útablissements sociaux ou Úducatifs;450;0;450;0;0;0;0;0;0;Nord-Ouest;Non;0;Pas de fermeture;Non;0;Pas d'Úvolution possible;Non;;;11 - CitÚ Valette (52 m);0;Non;Club du 3Þme age Cha;3,848991;43,602088
Non;Non;19860101;313;Non;SLEG-CFPJ;4;29;Grammont;Port Marianne;J;Grammont Entretien;Ab.bat;Abords de bÔtiment;19860101;Avenue Albert Einstein;2967;20;20;0;300;0;0;200;Non;Non;Non;4 c humilis, 2 p canariensis;0;0;34862;S11;15;Autres;1;SEV;33878;2;Normal;0;0;0;0;0;6;0;728585,3851;147548,5245;970;0;1;Ville de Montpellier;Accompagnement de bÔtiments publics;Accompagnement de bÔtiments publics;3307;0;4277;6;0;0;0;0;0;Est;Non;0;Pas de fermeture;Non;0;Pas d'Úvolution possible;Non;;;12 - Grammont (Terminus) (326 m);0;Non;SLEG-CFPJ;3,929763;43,616682
Non;Non;19850101;314;Non;ThÚatre Bobby-Lapointe;4;29;Grammont;Port Marianne;J;Grammont Entretien;Ab.bat;Abords de bÔtiment;19850101;Avenue Albert Einstein;2164;143;1959;0;90;0;160;0;Non;Non;Non;10 c humilis;0;0;34862;S11;1;SEV;1;SEV;33878;2;Normal;0;150;0;0;2140;10;0;728664,3181;147609,5898;0;300;1;Ville de Montpellier;Accompagnement de bÔtiments publics;Accompagnement de bÔtiments publics;7106;0;7106;10;0;0;0;0;0;Est;Non;0;Pas de fermeture;Non;0;Pas d'Úvolution possible;Non;39286;;12 - CimetiÞre ST-Etienne (363 m);0;Oui;ThÚatre B Lapointe;3,930756;43,617218
Non;Non;19880101;331;Non;Abords chaufferie Antigone;3;30;ComÚdie;Centre;C;Antigone;Ab.bat;Abords de bÔtiment;19880101;Ave du PirÚe;534;0;0;0;0;0;0;0;Non;Non;Non;platanes;0;0;34451;N10;1;SEV;1;SEV;33633;2;Normal;0;0;3;0;0;0;0;725766,921;146789,9902;0;0;1;Ville de Montpellier;Accompagnement d'habitations;Accompagnement d'habitations;534;0;534;3;0;0;0;0;0;Centre;Non;0;Pas de fermeture;Non;0;Pas d'Úvolution possible;Non;39392;2 - Pompignane (202 m);8 - LÚon Bum (126 m);0;Non;Chaufferie Antigone;3,894922;43,610543
Non;Non;19760101;333;Non;Cour des raisins;3;30;ComÚdie;Centre;C;Antigone;Ab.bat;Abords de bÔtiment;19760101;Rue de la spirale;0;0;250;0;0;0;0;0;Non;Non;Oui;10 trachycarpus fortunei, 13 c humilis;0;0;34451;L9;1;SEV;1;SEV;33912;2;Normal;0;0;0;0;0;23;0;725017,4256;146632,5447;0;59;1;Ville de Montpellier;Accompagnement de bÔtiments publics;Accompagnement de bÔtiments publics;309;0;309;23;0;0;0;0;0;Centre;Non;0;Pas de fermeture;Non;0;Pas d'Úvolution possible;Non;;1 - Antigone (126 m);8 - H¶tel de Ville (209 m);0;Non;Cour des raisins;3,885353;43,609051
Non;Non;19700101;355;Non;Abords MÚdiathÞque Garcia Lorca;5;12;PrÞs d'ArÞnes;PrÞs d'ArÞnes;I;PrÞs d'ArÞnes;Ab.bat;Abords de bÔtiment;19700101;Rue de Malpasse;2400;0;0;0;700;0;0;0;Non;Non;Oui;12 cerisiers Ó fleurs, 17 oliviers, 2 chÛnes verts, 22 cyprÞs;0;0;34445;M6;1;SEV;1;SEV;33865;1;Prestige;0;0;31;22;0;0;0;725479,8824;144571,6689;0;100;1;Ville de Montpellier;Accompagnement de bÔtiments publics;Accompagnement de bÔtiments publics;3200;0;3200;53;0;0;0;0;0;Sud;Non;0;Pas de fermeture;Non;0;Pas d'Úvolution possible;Non;;;16 - Garcia Lorca (143 m);0;Non;MÚdiathÞque G Lorca;3,890599;43,590425
Non;Non;19900101;466;Non;Terrasse Corum (brasserie);3;28;Les Beaux Arts;Centre;A;Ecusson;Ab.bat;Abords de bÔtiment;19900101;Bd Sarrail;114;127;40;0;0;0;0;60;Non;Non;Non;;0;0;34862;L10;1;SEV;1;SEV;33639;1;Prestige;0;0;0;0;0;0;0;724694,7569;147081,0227;0;0;1;Ville de Montpellier;Accompagnement de bÔtiments publics;Accompagnement de bÔtiments publics;281;0;281;0;0;0;0;0;0;Centre;Non;0;Pas de fermeture;Non;0;Pas d'Úvolution possible;Non;;1 et 2 - Corum (121 m);9 - Corum (139 m);0;Non;Terrasse Corum;3,881461;43,613142
Non;Non;19910101;500;Non;Abords bureaux Espaces Verts;4;29;Grammont;Port Marianne;M;Magasin;Ab.bat;Abords de bÔtiment;19910101;Avenue Albert Einstein;3015;3;100;0;0;0;75;80;Oui;Oui;Oui;1 morus nigra, 4 liquidambars, 1 cÞdre pleureur, 2 trachycarpus fortunei, 7 c humilis;0;1;34451;R11;1;SEV;1;SEV;33633;2;Normal;89;30;85;3;0;9;602;728156,9819;147645,9558;5532;119;1;Ville de Montpellier;Accompagnement de bÔtiments publics;Accompagnement de bÔtiments publics;4033;0;9565;97;0;0;0;0;0;Est;Non;0;Pas de fermeture;Non;0;Pas d'Úvolution possible;Non;;;;0;Non;Bureaus SEV;3,924479;43,617633
Non;Non;19910601;546;Non;Terrasses du Corum;3;28;Les Beaux Arts;Centre;A;Ecusson;Ab.bat;Abords de bÔtiment;19910601;Bd Bonnenouvelle;0;0;228;0;0;0;0;0;Non;Non;Non;"Dodonea viscosa 'purpurea';Jasminum officinalis;Rhyncospermum;Hardenbergia violacea;grevillea juniperina;plumbago capensis;solanum jasminoides;callistemon;ceanothus prostratus;bulbine frutescens;thulbagia violacea;pleioblastus viridistriatus 'vagans'.";0;0;34862;L10;15;Autres;1;SEV;33637;1;Prestige;0;0;0;0;382;0;0;724747,9394;147147,5534;0;0;1;Ville de Montpellier;Accompagnement de bÔtiments publics;Accompagnement de bÔtiments publics;610;0;610;0;0;0;0;0;0;Centre;Non;0;Pas de fermeture;Non;0;Pas d'Úvolution possible;Non;;1 et 2 - Corum (136 m);9 - Corum (135 m);0;Non;Terrasses du Corum;3,882134;43,613731
Non;Non;19911110;593;Non;Centre Úquestre;4;29;Grammont;Port Marianne;J;Grammont Entretien;Ab.bat;Abords de bÔtiment;19911110;Avenue Albert Einstein;400;3;5;0;0;0;0;0;Non;Non;Non;1olivier,4pins pignons,1cyprÞs;0;0;34862;S11;1;SEV;1;SEV;33878;2;Normal;0;0;0;0;227;0;0;728545,1304;147613,794;0;0;1;Ville de Montpellier;Sports;Sports;635;0;635;0;0;0;0;0;0;Est;Non;0;Pas de fermeture;Non;0;Pas d'Úvolution possible;Non;;;12 - Grammont (Terminus) (402 m);0;Non;Centre Úquestre;3,92928;43,617276
Oui;Non;19910701;603;Non;Point propretÚ H¶pitaux-facultÚs;2;17;H¶pitaux-FacultÚs;H¶pitaux-FacultÚs;D;H¶pitaux-FacultÚs;Ab.bat;Abords de bÔtiment;19910701;Avenue val de Montferrand;0;0;0;0;0;0;0;0;Non;Non;Non;3 cyprÞs, 6 pins alep, 1 pin pignon;0;0;34457;K15;1;SEV;25;Clanet;33792;3;Rustique;0;0;0;9;0;0;2000;723984,9907;149867,1149;0;0;1;Ville de Montpellier;Accompagnement de bÔtiments publics;Accompagnement de bÔtiments publics;2000;0;2000;9;0;0;0;0;0;Nord-Ouest;Non;0;Pas de fermeture;Non;0;Pas d'Úvolution possible;Non;39176;;9 - RenÚ Bougnol (237 m);0;Non;PP  HfacultÚs;3,873313;43,638335
Oui;Non;19910601;645;Non;Square rue Franþois d'Orbay;10;3;Celleneuve;La Mosson;G;Mosson;Ab.bat;Abords de bÔtiment;19910601;Rue Franþois d'Orbay;100;0;82;0;0;0;0;0;Non;Non;Oui;28 tulipiers, 35 mÚlias, 4 pins parasol, 6 Úrables champÛtre,;0;0;34451;C10;1;SEV;50;Sariviere;33792;2;Normal;0;0;69;4;0;0;0;720198,9408;147124,1153;0;0;1;Ville de Montpellier;Accompagnement d'habitations;Accompagnement d'habitations;182;0;182;73;0;0;0;0;0;Nord-Ouest;Non;0;Pas de fermeture;Non;0;Pas d'Úvolution possible;Non;39119;;15 - Renaudel (117 m);0;Non;Sq rue d'Orbay;3,825782;43,614274
Oui;Non;19920601;665;Non;Terrasses du MillÚnaire;4;27;MillÚnaire;Port Marianne;L;Port Marianne;Ab.bat;Abords de bÔtiment;19920601;Rue Hippolyte Fizeau/AllÚe LÚon Foucault;0;0;240;0;0;0;0;0;Non;Non;Oui;96 pins parasols, 458 troÛnes;0;0;35089;Q11;1;SEV;47;UPEE7;33921;3;Rustique;0;0;0;96;0;0;0;727222,8191;147410,313;0;0;1;Ville de Montpellier;Accompagnement d'habitations;Accompagnement d'habitations;240;0;240;96;0;0;0;0;0;Est;Non;0;Pas de fermeture;Non;0;Pas d'Úvolution possible;Non;39560;;12 - Alfred Nobel (199 m);0;Non;Terrasses MillÚnaire;3,912852;43,615674
Oui;Non;19930301;667;Non;Point de propretÚ ouest et allÚe de la Martelle;8;7;La Chamberte;Les CÚvennes;H;CÚvennes;Ab.bat;Abords de bÔtiment;19930301;Ave de la Rocambale et allÚe de la Martelle;0;0;700;0;0;0;0;0;Non;Non;Oui;38 cyprÞs et  arbustes : chÛnes vert,  photinias,  lauriers rose, lauriertin,  lauriers sauce.;0;0;34862;F7;1;SEV;47;UPEE7;33924;3;Rustique;0;0;0;38;0;0;0;721441,268;145570,1552;0;0;1;Ville de Montpellier;Accompagnement de bÔtiments publics;Accompagnement de bÔtiments publics;700;0;700;38;0;0;0;0;0;Nord-Ouest;Non;0;Pas de fermeture;Non;0;Pas d'Úvolution possible;Non;39847;;11 - CollÞge M. Pagnol (326 m);0;Non;PP Ouest;3,840819;43,600086
Non;Non;19930115;682;Non;Rue du Petit Bard;7;5;Alco;Les CÚvennes;H;CÚvennes;Ab.bat;Abords de bÔtiment;19930115;rue du petit Bard;0;0;150;0;0;0;0;0;Non;Non;Non;8 prunus pisardii;0;0;34451;E11;1;SEV;1;SEV;34050;3;Rustique;0;0;8;0;0;0;0;721031,3631;147374,6828;0;0;1;Ville de Montpellier;Accompagnement d'habitations;Accompagnement d'habitations;150;0;150;8;0;0;0;0;0;Nord-Ouest;Non;0;Pas de fermeture;Non;0;Pas d'Úvolution possible;Non;39847;;6 - Paul Bringuier (126 m);0;Non;Rue Petit Bard;3,836149;43,616394
Non;Non;19750101;704;Non;Abords trÚsorerie gÚnÚrale - Bd Antigone;3;25;Antigone;Centre;C;Antigone;Ab.bat;Abords de bÔtiment;19750101;Boulevard d'Antigone;0;0;280;0;0;0;0;112;Non;Non;Non;;0;0;34445;M10;1;SEV;1;SEV;34281;2;Normal;0;0;0;0;2070;0;0;725153,8504;146676,8985;0;0;2;Autre entitÚ publique;Accompagnement de bÔtiments publics;Accompagnement de bÔtiments publics;2350;0;2350;0;0;0;0;0;0;Centre;Non;0;Pas de fermeture;Non;0;Pas d'Úvolution possible;Non;;1 - Antigone (84 m);8 - H¶tel de Ville (90 m);0;Non;Abords TG;3,887053;43,609427
Non;Non;19931215;723;Non;Commissariat Aiguelongue;3;18;Aiguelongue;H¶pitaux-FacultÚs;D;H¶pitaux-FacultÚs;Ab.bat;Abords de bÔtiment;19931215;rue des CÚtoines;0;0;50;0;0;0;0;15;Non;Non;Non;1 trachycarpus fortunei, 3 c humilis;0;0;34737;K13;1;SEV;1;SEV;34407;2;Normal;0;0;0;0;0;4;0;724181,2196;148601,1393;0;0;1;Ville de Montpellier;Accompagnement de bÔtiments publics;Accompagnement de bÔtiments publics;50;0;50;4;0;0;0;0;0;Nord-Ouest;Non;0;Pas de fermeture;Non;0;Pas d'Úvolution possible;Non;;;La Ronde - Major Flandres (70 m);0;Non;Commissariat Aiguelo;3,875451;43,626909
Non;Non;19940627;754;Non;Passage Eglise Celleneuve;10;3;Celleneuve;La Mosson;G;Mosson;Ab.bat;Abords de bÔtiment;19940627;15, rue du Bassin;0;0;70;0;75;0;0;0;Non;Non;Non;1 paulownia.;0;0;35090;D10;1;SEV;1;SEV;34516;2;Normal;0;0;1;0;0;0;0;720404,2085;147021,0084;0;0;1;Ville de Montpellier;EV Útablissements sociaux ou Úducatifs;EV Útablissements sociaux ou Úducatifs;145;0;145;1;0;0;0;0;0;Nord-Ouest;Non;0;Pas de fermeture;Non;0;Pas d'Úvolution possible;Non;;;15 - Marie Curie (201 m);0;Non;Eglise Celleneuve;3,828301;43,613314
Non;Non;19960515;806;Non;Abords Eglise Notre Dame de la Paix;8;7;La Chamberte;Les CÚvennes;H;CÚvennes;Ab.bat;Abords de bÔtiment;19860615;1, rue du pÞre Cyprien Rome;0;0;340;0;0;0;0;104;Non;Non;Non;3 oliviers;0;0;35200;G8;1;SEV;1;SEV;35200;3;Rustique;0;0;16;1;200;0;0;722120,2387;145794,9723;0;0;1;Ville de Montpellier;EV Útablissements sociaux ou Úducatifs;EV Útablissements sociaux ou Úducatifs;540;0;540;17;0;0;0;0;0;Nord-Ouest;Non;0;Pas de fermeture;Non;0;Pas d'Úvolution possible;Non;;;11 - CitÚ Valette (29 m);0;Non;Ntre Dame de la Paix;3,849279;43,601998
Oui;Non;19960615;811;Non;Rue Henri Cellier Úcole Voltaire;6;11;Croix d'Argent;Croix d'Argent;W;Croix d'Argent;Ab.bat;Abords de bÔtiment;19960615;Rue Henri Cellier;0;0;30;0;0;0;0;30;Non;Non;Non;2 m¹riers;0;0;35251;i7;1;SEV;50;Sariviere;35251;2;Normal;0;0;2;0;0;0;0;723273,2276;145084,1551;0;0;1;Ville de Montpellier;EV Útablissements sociaux ou Úducatifs;EV Útablissements sociaux ou Úducatifs;30;0;30;2;0;0;0;0;0;Sud;Non;0;Pas de fermeture;Non;0;Pas d'Úvolution possible;Non;;2 - Croix d'Argent (336 m);6 - Croix d'Argent (159 m);0;Non;Rue H CellierXVoltai;3,863394;43,595409
Non;Non;19970403;822;Non;JardiniÞres Eglise Saint-Franþois;4;23;Gares;Centre;C;Antigone;Ab.bat;Abords de bÔtiment;19970403;Boulevard de Strasbourg;0;0;0;0;0;0;35;0;Non;Non;Non;;0;0;;L8;1;SEV;1;SEV;35528;2;Normal;0;0;0;0;0;0;0;724833,7041;145962,718;0;0;1;Ville de Montpellier;Accompagnement de bÔtiments publics;Accompagnement de bÔtiments publics;35;0;35;0;0;0;0;0;0;Centre;Non;0;Pas de fermeture;Non;0;Pas d'Úvolution possible;Non;39839;2 - Place Carnot (115 m);8 - Place Carnot (24 m);0;Non;Eglise St Franþois;3,882921;43,603054
Non;Non;19970418;825;Non;Centre municipal 'Garosud';6;11;Croix d'Argent;Croix d'Argent;W;Croix d'Argent;Ab.bat;Abords de bÔtiment;19970418;3490, ave Etienne MÚhul;0;0;150;0;280;0;0;30;Non;Non;Non;"114 mÚlias, 35 m¹riers, 4 pins parasol, 4 catalpas, 7 albizzias et 3 phoenix;";0;0;;i2;57;DEMT (CMG);1;SEV;35549;2;Normal;0;0;160;4;1250;3;0;722907,0459;142463,4964;0;0;1;Ville de Montpellier;Accompagnement de bÔtiments publics;Accompagnement de bÔtiments publics;1680;0;1680;167;0;0;0;0;0;Sud;Non;0;Pas de fermeture;Non;0;Pas d'Úvolution possible;Non;39391;;;0;Non;Centre Garosud;3,858261;43,571884
Non;Non;19970816;832;Non;MÚdiathÞque Jean-Jacques Rousseau;9;1;Les Hauts de Massane;La Mosson;F;Hauts de Massane;Ab.bat;Abords de bÔtiment;19970816;Rue de la Narbonnaise;1620;0;850;0;610;0;0;0;Non;Non;Oui;11 washingtonia filifera, 4 micocouliers, 10 mÚlias;0;0;;B14;14;Sce Aff. Culturelles;1;SEV;35646;2;Normal;0;0;14;21;0;11;0;719644,3079;149258,9841;1200;175;1;Ville de Montpellier;Accompagnement de bÔtiments publics;Accompagnement de bÔtiments publics;3255;0;4455;46;0;0;0;0;0;Nord-Ouest;Non;0;Pas de fermeture;Non;0;Pas d'Úvolution possible;Non;;1 - Saint-Paul (349 m);15 - GÚmaux (219 m);0;Non;MÚdiathÞque Rousseau;3,819388;43,633578
Oui;Non;19980203;846;Non;Lotissement le Mas;5;14;Les Aiguerelles;PrÞs d'ArÞnes;I;PrÞs d'ArÞnes;Ab.bat;Abords de bÔtiment;19980203;Impasse Johannes Kepler;0;0;0;0;0;0;0;0;Non;Non;Non;;0;0;;N7;1;SEV;50;Sariviere;35878;3;Rustique;0;0;0;0;0;0;1271;726101,7817;145113,4791;0;0;1;Ville de Montpellier;Accompagnement d'habitations;Accompagnement d'habitations;1271;0;1271;0;0;0;0;0;0;Sud;Non;0;Pas de fermeture;Non;0;Pas d'Úvolution possible;Non;;;8 - Trinquat (65 m);0;Non;Lot le Mas;3,898427;43,595195
Non;Non;19980930;854;Non;JardiniÞres MoularÞs abords lot 14;4;31;Port Marianne;Port Marianne;L;Port Marianne;Ab.bat;Abords de bÔtiment;19971101;Chemin de MoularÞs;0;0;180;0;0;0;0;0;Non;Non;Non;4 cercis, 3 platanes, 1 trachycarpus fortunei;0;0;;N8;1;SEV;1;SEV;36068;2;Normal;0;0;7;0;0;1;0;725736,8613;145955,8863;0;0;1;Ville de Montpellier;Accompagnement d'habitations;Accompagnement d'habitations;180;0;180;8;0;0;0;0;0;Est;Non;0;Pas de fermeture;Non;0;Pas d'Úvolution possible;Non;;1 - Rives du Lez (149 m);12 - ComtÚ de Melgueil (141 m);0;Non;MoularÞs lot 14;3,894105;43,602839
Non;Non;19950101;869;Non;Prairie cimetiÞre;4;29;Grammont;Port Marianne;J;Grammont Entretien;Ab.bat;Abords de bÔtiment;19950101;Domaine de Grammont;0;0;0;0;0;0;0;0;Non;Non;Non;;0;0;;T11;37;Domaine de Grammont;1;SEV;36360;3;Rustique;0;0;0;0;41050;0;0;728879,4656;147552,8338;0;0;1;Ville de Montpellier;Accompagnement de bÔtiments publics;Accompagnement de bÔtiments publics;41050;0;41050;0;0;0;0;0;0;Est;Oui;1;Portail;Non;0;Pas d'Úvolution possible;Non;39134;;12 - CimetiÞre ST-Etienne (193 m);0;Non;Prairie cimetiÞre;3,933407;43,616669
Non;Non;20010101;904;Oui;Cour Agora 2000 (Ursulines);1;21;Centre historique;Centre;0;Pas de secteur;Ab.bat;Abords de bÔtiment;;Boulevard Louis Blanc;0;0;0;0;648;0;0;0;Non;Non;Non;2 paulownias;0;0;;K10;14;Sce Aff. Culturelles;1;SEV;36899;2;Normal;0;0;2;0;0;0;0;724444,82;147204,3095;0;0;1;Ville de Montpellier;Accompagnement de bÔtiments publics;Accompagnement de bÔtiments publics;648;0;648;2;0;2;0;3;0;Sans;Non;0;Pas de fermeture;Non;0;Pas d'Úvolution possible;Non;39457;1 - Louis Blanc (53 m);4 - Proudhon (357 m);0;Non;Cour Agora 2000 (Urs;3,878394;43,614293
Non;Non;20010220;912;Non;MDQ AzÚma;4;26;La Pompignane;Port Marianne;L;Port Marianne;Ab.bat;Abords de bÔtiment;20010220;Rue Malraux;0;0;496;0;0;0;0;50;Non;Non;Non;12 Amandiers, 10 oliviers, 2 micocouliers,  1 tilleul, 1 tamaris.;0;0;;O12;1;SEV;1;SEV;36950;2;Normal;0;0;26;0;0;0;0;726203,5223;147794,8879;0;14;1;Ville de Montpellier;Accompagnement de bÔtiments publics;Accompagnement de bÔtiments publics;510;0;510;26;0;0;0;0;0;Est;Oui;4;Mixte;Non;0;Pas d'Úvolution possible;Oui;;;8 - Garigliano (60 m);0;Non;MDQ AzÚma;3,900316;43,61931
Oui;Non;20010101;923;Non;ACM Marie-Caizergues;2;19;Boutonnet;Centre;E;Verdanson;Ab.bat;Abords de bÔtiment;;Rue Marie-Caizergues;0;0;53;0;0;0;0;0;Non;Non;Non;CyprÞs, pins.;0;0;;K12;1;SEV;25;Clanet;37021;3;Rustique;0;0;0;10;53;0;0;724128,6677;147800,4584;0;0;1;Ville de Montpellier;Accompagnement d'habitations;Accompagnement d'habitations;106;0;106;10;0;0;0;0;0;Centre;Non;0;Pas de fermeture;Non;0;Pas d'Úvolution possible;Non;37021;1 - Place Albert Premier (369 m);;0;Non;ACM Caizergues;3,874615;43,619712
Oui;Non;20010101;924;Non;ACM Les BruyÞres;10;4;La Martelle;Les CÚvennes;H;CÚvennes;Ab.bat;Abords de bÔtiment;;Rue des megissier;0;0;0;0;0;0;0;30;Non;Non;Non;Saule, pins;0;0;;E9;1;SEV;47;UPEE7;37021;3;Rustique;0;0;1;3;320;0;0;720853,7376;146460,3846;0;0;1;Ville de Montpellier;Accompagnement d'habitations;Accompagnement d'habitations;320;0;320;4;0;0;0;0;0;Nord-Ouest;Non;0;Pas de fermeture;Non;0;Pas d'Úvolution possible;Non;39847;;7 - MartelliÞre (54 m);0;Non;ACM Les BruyÞres;3,833744;43,608194
