RÚgIE_ENTR;PROJET_O_N;DOM_PUBLIC;DOSSIER;O_N;NOM;CANTON;SS_QUARTIE;QUARTIER;QUARTIER0;SECTEUR;LIBSECTEUR;CAT?GORIE;LIBCATÚgOR;DATE_CR?AT;ADRESSE;PELOUSES;FLEURS;ARBUSTES;JEUX;ALL?ES;FRICHE;JARDINIERE;HAIES_LONG;WC_O_N;D?POT_JARD;ECLAIRAGE_;V?G?TAUX;BORNE_FONT;BASSINS_FO;DATE_MODIF;COORDONN?E;N_GEST;_LIBGESTI;N_MOEUVRE;_1_LIBGES;DATE_FICHE;GROUPE_ENT;LIBGROUPE;EAU_SURFAC;ROSIERS_SU;FEUILLUS_U;CONIFERE_U;PRAIRIE;PALMIERS_Q;BOISEMENT;XCOORD;YCOORD;ALLÚeS_NON;VIVACES;PROPRIÚt?;LIBPROPRI;UNIFIÚe;LIBTYPOLOG;SEV;NON_SEV;TOTALE;ARBRES;HORTICOLE;HISTORIQUE;ECOLOGIE;ACTIVIT?;COMPOSITIO;ZONE;CL¶tURÚ_O_;FERMETURE;LIBFERMETU;HANDICAPÚs;HANDICAP0;LIBEVOLUTI;ACCESSIBIL;MODIFICATI;TRAML1;BUS;MSEC;BALAYAGESE;NOMCOURT;LONGITUDE;LATITUDE
Oui;Non;20080519;1077;Non;Rue Sainte Barbe;9;2;La Mosson;La Mosson;T2;Etudes 2;Ab.voi;Abords de voirie;20080519;Rue Sainte Barbe;0;0;250;0;0;0;0;0;Non;Non;Non;;0;0;;C14;1;SEV;23;BRL;39597;2;Normal;0;0;70;0;864;0;0;0;0;0;247;1;Ville de Montpellier;Accompagnement de voirie;Accompagnement de voirie;1361;0;1361;70;0;0;0;0;0;Etudes;Non;0;;Non;0;;Non;39597;;;0;Non;Rue Sainte Barbe;3,825819;43,630312
Oui;Non;20060831;1078;Non;Avenue Pablo Neruda;9;2;La Mosson;La Mosson;G;Mosson;Ab.voi;Abords de voirie;20060831;Avenue Pablo Neruda;300;0;2020;0;0;0;0;0;Non;Non;Non;Platanes, Úrables, chÛnes, cyprÞs;0;0;;C12;1;SEV;50;Sariviere;39664;3;Rustique;0;0;91;20;41000;0;0;0;0;0;0;1;Ville de Montpellier;Accompagnement de voirie;Accompagnement de voirie;43320;0;43320;111;0;0;0;0;0;Nord-Ouest;Non;0;;Non;0;;Non;39785;;;0;Non;Av P Neruda;3,822758;43,622044
Oui;Non;20080813;1079;Non;Giratoires Rabin-Sadate;6;11;Croix d'Argent;Croix d'Argent;W;Croix d'Argent;Ab.voi;Abords de voirie;20050101;Avenue de Maurin;0;0;0;0;0;0;0;0;Non;Non;Non;2 oliviers;0;0;;J5;1;SEV;25;Clanet;39673;2;Normal;0;0;2;0;0;0;0;0;0;0;0;1;Ville de Montpellier;Accompagnement de voirie;Accompagnement de voirie;51;0;51;2;0;0;0;0;0;Sud;Non;0;;Non;0;;Non;39673;;;51;Non;Rdpts Rabin-Sadate;3,871666;43,586367
Non;Non;20070601;1080;Non;EV Tram L2 Croix d'Argent;0;0;Sans;Sans;W;Croix d'Argent;Ab.voi;Abords de voirie;20070601;;0;0;30460;0;0;0;0;0;Non;Non;Non;;0;0;;;1;SEV;1;SEV;39681;2;Normal;0;0;0;0;0;0;0;0;0;0;0;1;Ville de Montpellier;Accompagnement de voirie;Accompagnement de voirie;30460;0;30460;0;0;0;0;0;0;Sud;Non;0;;Non;0;;Non;40065;;;0;Non;Tram 2 S C Argent;3,861188;43,582024
Non;Non;20070601;1081;Non;EV Tram L2 Antigone;0;0;Sans;Sans;C;Antigone;Ab.voi;Abords de voirie;20070601;;3400;0;2127;0;0;0;0;0;Non;Non;Non;;0;0;;;1;SEV;1;SEV;39681;2;Normal;0;0;0;0;0;0;0;0;0;0;0;1;Ville de Montpellier;Accompagnement de voirie;Accompagnement de voirie;5527;0;5527;0;0;0;0;0;0;Centre;Non;0;;Non;0;;Non;40067;;;0;Non;Tram 2 S Centre;3,884842;43,613803
Non;Non;20070601;1082;Non;EV Tram L2 H¶pitaux FacultÚs;0;0;Sans;Sans;D;H¶pitaux-FacultÚs;Ab.voi;Abords de voirie;20070601;;0;0;987;0;0;0;0;0;Non;Non;Non;;0;0;;;1;SEV;1;SEV;39682;2;Normal;0;0;0;0;0;0;0;0;0;0;0;1;Ville de Montpellier;Accompagnement de voirie;Accompagnement de voirie;987;0;987;0;0;0;0;0;0;Nord-Ouest;Non;0;;Non;0;;Non;40067;;;0;Non;Tram 2 S HfacultÚs;3,891016;43,626985
Non;Non;20050501;1086;Non;Jardin sec Joffre;3;25;Antigone;Centre;A;Ecusson;Ab.voi;Abords de voirie;20050501;Rue Michel de l'Hospital;0;0;0;0;0;0;0;0;Non;Non;Non;BougaivillÚe, bignone;0;0;;L10;1;SEV;1;SEV;39759;2;Normal;0;0;0;0;0;0;0;0;0;0;0;1;Ville de Montpellier;Accompagnement de voirie;Accompagnement de voirie;257;0;257;0;0;0;0;0;0;Centre;Non;0;;Non;0;;Non;39759;;;257;Non;Jardin sec Joffre;3,883013;43,612677
Non;Non;20070301;1087;Non;Mas de Carbonnier;4;31;Port Marianne;Port Marianne;L;Port Marianne;Ab.voi;Abords de voirie;20070301;Rue du Mas de Carbonnier;0;0;20;0;0;0;0;0;Non;Non;Non;Celtis, amandiers, chÛnes verts, pins;0;0;;P9;1;SEV;1;SEV;39784;2;Normal;0;0;10;5;230;0;0;0;0;0;0;1;Ville de Montpellier;Accompagnement de voirie;Accompagnement de voirie;250;0;250;15;0;0;0;0;0;Est;Non;0;;Non;0;;Non;39784;;;0;Non;Mas de Carbonnier;3,91052;43,605044
Non;Non;20081204;1088;Non;Carrefour Diacon;2;17;H¶pitaux-FacultÚs;H¶pitaux-FacultÚs;D;H¶pitaux-FacultÚs;Ab.voi;Abords de voirie;20081204;Ave Emile Diacon;0;0;0;0;0;0;0;0;Non;Non;Non;Vitex;0;0;;i14;1;SEV;1;SEV;39786;2;Normal;0;0;1;0;0;0;0;0;0;0;0;1;Ville de Montpellier;Accompagnement de voirie;Accompagnement de voirie;58;0;58;1;0;0;0;0;0;Nord-Ouest;Non;0;;Non;0;;Non;39786;;;58;Non;Carr Diacon;3,861381;43,62923
Non;Non;20090205;1089;Non;Amandiers RoqueturiÞre;3;18;Aiguelongue;H¶pitaux-FacultÚs;D;H¶pitaux-FacultÚs;Ab.voi;Abords de voirie;19950101;Rue de la RoqueturiÞre;0;0;0;0;0;0;0;2;Non;Non;Non;Amandiers, cyprÞs;0;0;;L14;1;SEV;1;SEV;39888;2;Normal;0;0;57;5;0;0;440;0;0;0;0;1;Ville de Montpellier;Accompagnement de voirie;Accompagnement de voirie;440;0;440;62;0;0;0;0;0;Nord-Ouest;Non;0;;Non;0;;Non;39888;;;0;Non;;3,884868;43,631352
